#Locus	Reads	Rep-total	DicerCall
Chr1:19-329	39	39.000	24
Chr1:761-950	289	289.000	24
Chr1:1388-1403	5	2.333	N
Chr1:11909-11927	11	4.666	N
Chr1:17941-18899	148	35.683	24
Chr1:21001-21017	4	0.933	N
Chr1:28012-28122	3	3.000	21
Chr1:28517-28686	43	43.000	21
Chr1:34170-34187	6	4.000	N
Chr1:42224-42449	38	25.084	24
Chr1:44676-44859	546	240.458	24
Chr1:48771-48796	7	7.000	N
Chr1:50520-50623	13	11.500	N
Chr1:55697-55954	90	49.815	24
Chr1:56409-56598	78	69.038	24
Chr1:65397-65411	12	7.500	N
Chr1:66773-66787	5	1.572	N
Chr1:71704-71719	0	0.000	N
Chr1:76819-77535	462	354.354	24
Chr1:78898-79065	3228	1756.678	21
Chr1:81749-81774	55	18.249	N
Chr1:88584-88599	4	1.643	N
Chr1:111889-111961	305	298.991	N
Chr1:117425-117439	2	1.250	N
Chr1:128509-128523	22	22.000	N
Chr1:135620-135715	5	5.000	22
Chr1:141927-141944	22	8.833	N
Chr1:144772-144788	2	0.277	N
Chr1:159259-159279	2	0.667	N
Chr1:166840-167051	1	1.000	N
Chr1:169214-169228	1	0.500	N
Chr1:172433-172433	1	1.000	N
Chr1:172715-172737	5	5.000	N
Chr1:175970-175985	13	4.079	N
Chr1:176706-176722	1	0.333	N
Chr1:179593-179607	0	0.000	N
Chr1:183975-183989	1	0.500	N
Chr1:185338-185353	0	0.000	N
Chr1:193508-193560	23	23.000	24
Chr1:196144-196158	12	4.400	N
Chr1:201283-201289	1	1.000	N
Chr1:207178-207192	4	2.000	N
Chr1:210653-210667	2	1.250	N
Chr1:213576-213644	15	15.000	24
Chr1:222837-222853	4	1.733	N
Chr1:234010-234155	24	23.501	21
Chr1:238306-238548	59	59.000	24
Chr1:238844-239313	327	293.155	24
Chr1:241303-241318	2	1.071	N
Chr1:251277-251293	2	0.381	N
Chr1:253791-253806	4	1.333	N
Chr1:255889-255906	7	7.000	21
Chr1:256157-256278	11	5.222	24
Chr1:256610-256661	18	18.000	24
Chr1:257690-258677	378	87.998	24
Chr1:266007-266022	27	12.312	N
Chr1:271223-271240	15	5.766	N
Chr1:283850-283864	0	0.000	N
Chr1:290040-290045	0	0.000	N
Chr1:290618-290633	9	3.000	N
Chr1:291876-292514	378	375.581	24
Chr1:294207-294221	6	6.000	N
Chr1:298360-298380	49	27.278	N
Chr1:304558-304572	1	0.250	N
Chr1:306384-306455	49	8.203	N
Chr1:309256-309347	111	18.815	N
Chr1:315479-315494	0	0.000	N
Chr1:337361-337376	3	3.000	N
Chr1:345579-345594	7	1.976	N
Chr1:365855-365869	4	0.981	N
Chr1:372396-372720	177	173.956	24
Chr1:374690-374704	0	0.000	N
Chr1:376759-376774	0	0.000	N
Chr1:381415-381429	4	1.833	N
Chr1:388114-388129	11	3.992	N
Chr1:390052-390069	1	0.333	N
