#Locus	Reads	Rep-total	DicerCall
Chr1:19-329	26	26.000	24
Chr1:761-950	159	159.000	24
Chr1:1388-1403	3	0.472	N
Chr1:11909-11927	8	3.666	N
Chr1:17941-18899	98	25.666	24
Chr1:21001-21017	4	0.733	N
Chr1:28012-28122	2	0.367	N
Chr1:28517-28686	26	26.000	21
Chr1:34170-34187	11	7.317	N
Chr1:42224-42449	108	76.831	24
Chr1:44676-44859	467	197.728	24
Chr1:48771-48796	5	5.000	N
Chr1:50520-50623	24	22.500	N
Chr1:55697-55954	39	14.641	24
Chr1:56409-56598	56	49.728	24
Chr1:65397-65411	7	4.000	N
Chr1:66773-66787	4	0.572	N
Chr1:71704-71719	8	0.964	N
Chr1:76819-77535	267	188.956	24
Chr1:78898-79065	977	520.936	21
Chr1:81749-81774	45	14.832	N
Chr1:88584-88599	8	2.595	N
Chr1:111889-111961	204	193.759	N
Chr1:117425-117439	2	0.500	N
Chr1:128509-128523	64	61.830	N
Chr1:135620-135715	10	9.000	N
Chr1:141927-141944	3	1.000	N
Chr1:144772-144788	28	8.070	N
Chr1:159259-159279	127	58.953	N
Chr1:166840-167051	85	70.499	N
Chr1:169214-169228	3	1.200	N
Chr1:172433-172433	2	2.000	N
Chr1:172715-172737	4	4.000	N
Chr1:175970-175985	10	3.879	N
Chr1:176706-176722	9	4.250	N
Chr1:179593-179607	13	13.000	N
Chr1:183975-183989	27	2.668	N
Chr1:185338-185353	9	2.500	N
Chr1:193508-193560	11	11.000	24
Chr1:196144-196158	6	3.334	N
Chr1:201283-201289	2	2.000	N
Chr1:207178-207192	4	1.333	N
Chr1:210653-210667	7	4.250	N
Chr1:213576-213644	4	4.000	24
Chr1:222837-222853	44	19.202	N
Chr1:234010-234155	6	6.000	21
Chr1:238306-238548	40	40.000	24
Chr1:238844-239313	253	237.010	24
Chr1:241303-241318	8	2.405	N
Chr1:251277-251293	22	3.516	N
Chr1:253791-253806	3	1.000	N
Chr1:255889-255906	1	1.000	24
Chr1:256157-256278	9	5.715	N
Chr1:256610-256661	6	6.000	24
Chr1:257690-258677	217	50.930	24
Chr1:266007-266022	27	14.218	N
Chr1:271223-271240	14	4.236	N
Chr1:283850-283864	18	8.833	N
Chr1:290040-290045	5	3.500	N
Chr1:290618-290633	11	3.666	N
Chr1:291876-292514	533	530.761	N
Chr1:294207-294221	22	22.000	N
Chr1:298360-298380	40	22.716	N
Chr1:304558-304572	3	0.458	N
Chr1:306384-306455	15	2.487	N
Chr1:309256-309347	104	17.586	N
Chr1:315479-315494	14	9.534	N
Chr1:337361-337376	4	4.000	N
Chr1:345579-345594	4	1.500	N
Chr1:365855-365869	1	0.500	N
Chr1:372396-372720	176	172.251	24
Chr1:374690-374704	15	4.999	N
Chr1:376759-376774	17	12.364	N
Chr1:381415-381429	23	7.238	N
Chr1:388114-388129	0	0.000	N
Chr1:390052-390069	8	2.608	N
Chr1:399623-399637	19	7.499	N
Chr1:402333-402347	119	44.328	N
Chr1:413769-413784	10	4.033	N
Chr1:422895-422917	4	3.200	N
Chr1:423147-424290	83	24.460	24
Chr1:428068-428144	3	3.000	24
Chr1:431304-431703	100	58.730	24
Chr1:431906-432244	67	36.046	24
Chr1:432469-433828	237	111.769	24
Chr1:442817-442831	7	3.500	N
Chr1:451038-451052	16	2.286	N
Chr1:453847-453861	49	12.750	N
Chr1:457238-457253	163	163.000	N
Chr1:466981-466993	0	0.000	N
Chr1:471299-471314	3	1.400	N
Chr1:472161-472174	2	0.500	N
Chr1:481222-481236	7	3.458	N
Chr1:490189-490203	7	2.715	N
Chr1:499495-499669	24	11.630	24
Chr1:499900-500132	42	14.855	24
Chr1:500390-500706	56	30.946	24
Chr1:507966-507980	4	0.900	N
Chr1:512703-513124	233	196.466	24
Chr1:513416-513431	3	1.667	N
Chr1:514139-514153	4	1.650	N
Chr1:515494-515550	398	22.726	N
Chr1:536871-536885	9	1.171	N
Chr1:538650-538657	2	2.000	N
Chr1:539740-539764	4	4.000	N
Chr1:540545-540962	136	75.562	24
Chr1:543687-543702	31	27.999	N
Chr1:549623-550856	64	31.878	24
Chr1:552639-552714	1311	199.534	N
Chr1:561499-561515	15	13.200	N
Chr1:568271-568286	12	4.000	N
Chr1:587575-587979	135	65.961	24
Chr1:599484-599646	34	15.535	23
Chr1:604402-604457	93	5.543	N
Chr1:605773-605788	3	1.167	N
Chr1:608060-608081	6	6.000	N
Chr1:608605-608839	12	12.000	N
Chr1:612658-612705	49	49.000	23
Chr1:613624-613641	286	141.599	N
Chr1:614978-614992	39	10.585	N
Chr1:620167-620182	7	2.250	N
Chr1:624109-624125	8	2.234	N
Chr1:624949-624962	0	0.000	N
Chr1:634215-634566	280	213.108	24
Chr1:635401-635421	20	11.500	21
Chr1:639732-641202	86	58.067	24
Chr1:648964-648977	1	0.200	N
Chr1:651823-651840	74	61.635	N
Chr1:659018-659023	7	4.500	N
Chr1:659604-659625	12	9.833	N
Chr1:661436-661452	11	11.000	N
Chr1:661753-661764	8	8.000	N
Chr1:662075-662111	17	14.499	N
Chr1:670658-670888	72	71.503	24
Chr1:681660-681675	0	0.000	N
Chr1:685194-685210	453	160.045	N
Chr1:696491-696735	50	16.730	24
Chr1:697305-697383	10	2.269	24
Chr1:717329-717344	3	0.611	N
Chr1:728666-728680	17	3.072	N
Chr1:734344-734359	69	18.002	N
Chr1:738681-738697	5	3.700	N
Chr1:744519-744658	33	27.199	N
Chr1:752951-752966	9	3.000	N
Chr1:753435-753874	16	15.333	N
Chr1:758635-758739	40	3.212	24
Chr1:759050-759194	33	9.844	24
Chr1:759565-760434	52	15.283	24
Chr1:761373-761389	6	2.500	N
Chr1:769062-769078	5	2.491	N
Chr1:770231-770242	3	0.750	N
Chr1:781073-782056	160	48.288	24
Chr1:785348-785369	2	2.000	N
Chr1:788015-788024	2	0.533	N
Chr1:789457-789709	152	140.494	24
Chr1:791760-792467	185	94.831	24
Chr1:794046-794061	4	1.200	N
Chr1:805304-805319	96	87.725	N
Chr1:812679-812692	1	0.143	N
Chr1:822247-822409	100	100.000	24
Chr1:831782-831797	55	16.676	N
Chr1:847039-847133	2	2.000	21
Chr1:853223-853238	0	0.000	N
Chr1:859509-859523	0	0.000	N
Chr1:863257-863270	3	1.333	N
Chr1:866790-866805	2	1.333	N
Chr1:869371-869522	8	7.100	N
Chr1:872488-872502	0	0.000	N
Chr1:875056-875605	264	127.987	N
Chr1:877448-877700	127	5.118	N
Chr1:888878-889530	189	57.664	24
Chr1:891059-891060	13	13.000	N
Chr1:892514-892587	69	14.800	N
Chr1:899399-899411	0	0.000	N
Chr1:909824-909883	405	23.125	N
Chr1:913452-913461	1	1.000	N
Chr1:916982-917041	3	3.000	N
Chr1:917665-917667	2	1.333	N
Chr1:936241-936255	7	1.167	N
Chr1:937203-937485	208	195.000	N
Chr1:938215-938229	11	3.297	N
Chr1:939063-939077	4	2.476	N
Chr1:943305-943319	3	1.000	N
Chr1:944174-944418	230	229.195	24
Chr1:948440-948456	32	28.499	N
Chr1:951734-951752	102	58.375	N
Chr1:952751-952765	7	5.000	N
Chr1:954811-954825	3	0.583	N
Chr1:958651-958908	107	107.000	24
Chr1:981817-981818	4	3.500	N
Chr1:982669-982686	6	3.028	N
Chr1:989315-989329	0	0.000	N
Chr1:998916-998932	95	59.081	N
Chr1:1008591-1009356	392	243.510	N
Chr1:1014375-1014391	11	7.050	N
Chr1:1016530-1016545	3	3.000	N
Chr1:1027276-1027288	0	0.000	N
Chr1:1032122-1032136	2	2.000	N
Chr1:1032578-1032592	6	4.000	N
Chr1:1038560-1038575	12	5.600	N
