#Locus	Reads	Rep-total	DicerCall
Chr1:19-329	29	29.000	24
Chr1:761-950	221	220.492	24
Chr1:1388-1403	3	0.643	N
Chr1:11909-11927	12	5.500	N
Chr1:17941-18899	130	32.955	24
Chr1:21001-21017	7	2.333	N
Chr1:28012-28122	4	3.167	N
Chr1:28517-28686	33	33.000	21
Chr1:34170-34187	11	6.784	N
Chr1:42224-42449	58	37.503	24
Chr1:44676-44859	731	328.731	24
Chr1:48771-48796	8	8.000	N
Chr1:50520-50623	14	12.501	N
Chr1:55697-55954	44	19.382	24
Chr1:56409-56598	39	35.743	24
Chr1:65397-65411	8	4.500	N
Chr1:66773-66787	1	0.143	N
Chr1:71704-71719	2	0.086	N
Chr1:76819-77535	360	249.084	24
Chr1:78898-79065	877	476.036	21
Chr1:81749-81774	36	11.833	N
Chr1:88584-88599	7	1.429	N
Chr1:111889-111961	381	363.931	N
Chr1:117425-117439	1	0.250	N
Chr1:128509-128523	53	52.502	N
Chr1:135620-135715	8	7.500	22
Chr1:141927-141944	2	0.833	N
Chr1:144772-144788	23	7.560	N
Chr1:159259-159279	73	41.712	N
Chr1:166840-167051	66	56.522	N
Chr1:169214-169228	3	1.400	N
Chr1:172433-172433	2	2.000	N
Chr1:172715-172737	4	3.333	N
Chr1:175970-175985	11	3.377	N
Chr1:176706-176722	8	4.000	N
Chr1:179593-179607	6	6.000	N
Chr1:183975-183989	11	1.084	N
Chr1:185338-185353	4	1.333	N
Chr1:193508-193560	22	22.000	24
Chr1:196144-196158	7	3.000	N
Chr1:201283-201289	3	3.000	N
Chr1:207178-207192	8	2.666	N
Chr1:210653-210667	4	2.500	N
Chr1:213576-213644	6	6.000	24
Chr1:222837-222853	21	7.633	N
Chr1:234010-234155	5	5.000	21
Chr1:238306-238548	53	52.247	24
Chr1:238844-239313	306	288.007	24
Chr1:241303-241318	11	4.833	N
Chr1:251277-251293	14	2.948	N
Chr1:253791-253806	10	3.333	N
Chr1:255889-255906	0	0.000	N
Chr1:256157-256278	13	6.809	24
Chr1:256610-256661	6	6.000	23
Chr1:257690-258677	257	58.082	24
Chr1:266007-266022	26	8.375	N
Chr1:271223-271240	8	3.792	N
Chr1:283850-283864	10	5.000	N
Chr1:290040-290045	4	2.000	N
Chr1:290618-290633	10	3.200	N
Chr1:291876-292514	337	333.091	N
Chr1:294207-294221	15	14.334	N
Chr1:298360-298380	124	63.600	N
Chr1:304558-304572	4	1.508	N
Chr1:306384-306455	22	4.189	N
Chr1:309256-309347	129	10.488	N
Chr1:315479-315494	2	2.000	N
Chr1:337361-337376	3	3.000	N
Chr1:345579-345594	7	1.952	N
Chr1:365855-365869	2	0.095	N
Chr1:372396-372720	292	290.511	24
Chr1:374690-374704	6	2.500	N
Chr1:376759-376774	11	6.864	N
Chr1:381415-381429	6	3.334	N
Chr1:388114-388129	3	1.000	N
Chr1:390052-390069	2	0.667	N
Chr1:399623-399637	2	2.000	N
Chr1:402333-402347	89	33.669	N
Chr1:413769-413784	9	3.200	N
Chr1:422895-422917	5	5.000	23
Chr1:423147-424290	120	42.612	24
Chr1:428068-428144	5	5.000	24
Chr1:431304-431703	103	63.314	24
Chr1:431906-432244	107	53.200	24
Chr1:432469-433828	281	134.796	24
Chr1:442817-442831	5	2.500	N
Chr1:451038-451052	3	0.429	N
Chr1:453847-453861	15	5.125	N
Chr1:457238-457253	71	71.000	N
Chr1:466981-466993	2	0.667	N
Chr1:471299-471314	6	2.000	N
Chr1:472161-472174	0	0.000	N
Chr1:481222-481236	3	1.000	N
Chr1:490189-490203	3	0.786	N
Chr1:499495-499669	31	17.844	24
Chr1:499900-500132	57	19.283	24
Chr1:500390-500706	68	41.949	24
Chr1:507966-507980	7	1.533	N
Chr1:512703-513124	243	197.802	24
Chr1:513416-513431	1	0.333	N
Chr1:514139-514153	2	2.000	N
Chr1:515494-515550	381	21.527	N
Chr1:536871-536885	9	1.220	N
Chr1:538650-538657	1	0.500	N
Chr1:539740-539764	7	6.143	N
Chr1:540545-540962	152	81.046	24
Chr1:543687-543702	18	15.250	N
Chr1:549623-550856	95	43.054	24
Chr1:552639-552714	2024	320.197	N
Chr1:561499-561515	5	5.000	N
